id,quelle,betreiber,ladeeinr_art,plz_ort,adresse,ladeart,bemerkungen,anschlussltg_kw,steckertyp_1,p1_kw,steckertyp_2,p2_kw,steckertyp_3,p3_kw,steckertyp_4,p4_kw,inbetrieb_am,x_wert,y_wert
488,bnetza,Allego GmbH,Normalladeeinrichtung,10115 Berlin,Anklamer Str. 12,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2017-03-21T00:00:00,391281.1555295104,5821719.1767578078
489,bnetza,Allego GmbH,Normalladeeinrichtung,10115 Berlin,Anklamer Str. 12,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2017-03-21T00:00:00,391281.1555295104,5821719.1767578078
490,bnetza,innogy eMobility Solutions GmbH,Normalladeeinrichtung,10115 Berlin,Anklamer Str. 8,"","",44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,"","","","",2009-07-14T00:00:00,391192.30223672645,5821687.322951491
491,bnetza,Allego GmbH,Normalladeeinrichtung,10115 Berlin,Borsigstr. 1,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2017-03-13T00:00:00,390867.9348706397,5820992.72099863
492,bnetza,innogy eMobility Solutions GmbH,Normalladeeinrichtung,10115 Berlin,Boyenstr. 23,"","",44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,"","","","",2009-07-14T00:00:00,389366.21437609312,5821901.5149629293
493,bnetza,innogy eMobility Solutions GmbH,Normalladeeinrichtung,10115 Berlin,Gartenstraße 13,"","",44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,"","","","",2010-04-14T00:00:00,390879.15563756751,5821258.644936556
494,bnetza,Allego GmbH,Normalladeeinrichtung,10115 Berlin,Habersaathstr. 34,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2016-12-21T00:00:00,389951.27212118154,5821431.1974239238
495,bnetza,Allego GmbH,Normalladeeinrichtung,10115 Berlin,Kieler Str. 5,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2017-01-26T00:00:00,389462.0929383341,5821715.1836003875
496,bnetza,innogy eMobility Solutions GmbH,Normalladeeinrichtung,10115 Berlin,Torstraße 165,"","",44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,"","","","",2010-04-14T00:00:00,391180.419455242,5821100.8257005438
497,bnetza,innogy eMobility Solutions GmbH,Normalladeeinrichtung,10117 Berlin,Behrensstraße 28,"","",44,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22,"","","","",2010-04-14T00:00:00,390745.98102564993,5819632.8573518433
498,bnetza,Allego GmbH,Normalladeeinrichtung,10117 Berlin,Dorotheenstr. 63,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2017-07-12T00:00:00,390602.82228146965,5819943.398923669
499,bnetza,Allego GmbH,Normalladeeinrichtung,10117 Berlin,Dorotheenstr. 63,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2017-07-12T00:00:00,390602.82228146965,5819943.398923669
500,bnetza,Allego GmbH,Normalladeeinrichtung,10117 Berlin,Jägerstr. 61,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2017-05-17T00:00:00,390749.87205466628,5819414.668483546
